Movie,Release Year,Duration(Hrs),Certificate,Genres,Rating,Votes
The Shawshank Redemption,1994,2.37,A,Drama,9.3,2927048
The Godfather,1972,2.92,A,"Crime, Drama",9.2,2039866
The Dark Knight,2008,2.53,UA,"Action, Crime, Drama",9,2907692
The Godfather: Part II,1974,3.37,A,"Crime, Drama",9,1379739
12 Angry Men,1957,1.6,U,"Crime, Drama",9,878465
Schindler's List,1993,3.25,A,"Biography, Drama, History",9,1468269
The Lord of the Rings: The Return of the King,2003,3.35,U,"Action, Adventure, Drama",9,2002864
Pulp Fiction,1994,2.57,A,"Crime, Drama",8.9,2248223
The Lord of the Rings: The Fellowship of the Ring,2001,2.97,U,"Action, Adventure, Drama",8.9,2031661
"Il Buono, Il Brutto, Il Cattivo",1966,2.68,A,"Adventure, Drama, Western",8.8,820260
Forrest Gump,1994,2.37,UA,"Drama, Romance",8.8,2288875
The Lord of the Rings: The Two Towers,2002,2.98,UA,"Action, Adventure, Drama",8.8,1805901
Fight Club,1999,2.32,A,Drama,8.8,2358653
Inception,2010,2.47,UA,"Action, Adventure, Sci-Fi",8.8,2581982
Star Wars: Episode V - The Empire Strikes Back,1980,2.07,UA,"Action, Adventure, Fantasy",8.7,1395531
The Matrix,1999,2.27,A,"Action, Sci-Fi",8.7,2078965
GoodFellas,1990,2.42,A,"Biography, Crime, Drama",8.7,1273584
One Flew Over the Cuckoo's Nest,1975,2.22,A,Drama,8.7,1082401
Interstellar,2014,2.82,UA,"Adventure, Drama, Sci-Fi",8.7,2142860
Se7en,1995,2.12,A,"Crime, Drama, Mystery",8.6,1824010
It's a Wonderful Life,1946,2.17,PG,"Drama, Family, Fantasy",8.6,503701
Shichinin No Samurai,1954,3.45,U,"Action, Drama",8.6,370594
The Silence of the Lambs,1991,1.97,A,"Crime, Drama, Thriller",8.6,1568737
Saving Private Ryan,1998,2.82,A,"Drama, War",8.6,1514661
City of God,2002,2.17,A,"Crime, Drama",8.6,809333
Life Is Beautiful,1997,1.93,U,"Comedy, Drama, Romance",8.6,750910
The Green Mile,1999,3.15,UA,"Crime, Drama, Fantasy",8.6,1425492
Terminator 2: Judgment Day,1991,2.28,A,"Action, Adventure, Sci-Fi",8.6,1187572
Star Wars: Episode IV - A New Hope,1977,2.02,U,"Action, Adventure, Fantasy",8.6,1465071
Back to the Future,1985,1.93,U,"Adventure, Comedy, Sci-Fi",8.5,1325041
Spirited Away,2001,2.08,U,"Animation, Adventure, Family",8.6,864608
The Pianist,2002,2.5,13,"Biography, Drama, Music",8.5,926190
Parasite,2019,2.2,A,"Drama, Thriller",8.5,983156
Psycho,1960,1.82,A,"Horror, Mystery, Thriller",8.5,726363
Gladiator,2000,2.58,UA,"Action, Adventure, Drama",8.5,1647020
The Lion King,1994,1.47,U,"Animation, Adventure, Drama",8.5,1156769
Spider-man: Across the Spider-verse,2023,2.33,U,"Animation, Action, Adventure",8.6,392474
The Departed,2006,2.52,A,"Crime, Drama, Thriller",8.5,1437966
